eta, lambda, accuracy, cost
1.024723e-01, 7.803724e-11, 5.234765e+01, 1.357719e+00
1.036026e-01, 3.210391e-04, 5.164835e+01, 1.389127e+00
9.378295e-02, 1.792490e-07, 5.024975e+01, 1.377450e+00
1.025493e-01, 3.308487e-08, 5.084915e+01, 1.371748e+00
1.016537e-01, 8.149685e-11, 5.164835e+01, 1.369291e+00
1.060894e-01, 3.904380e-12, 5.314685e+01, 1.374504e+00
9.264151e-02, 2.543000e-14, 5.294705e+01, 1.349833e+00
1.070138e-01, 7.860236e-05, 5.314685e+01, 1.330597e+00
9.695478e-02, 3.586469e-14, 5.164835e+01, 1.379397e+00
1.055465e-01, 2.028333e-04, 5.254745e+01, 1.358496e+00
1.053145e-01, 1.568019e-04, 5.234765e+01, 1.378115e+00
9.146605e-02, 1.576210e-09, 5.294705e+01, 1.336749e+00
9.021671e-02, 6.016549e-14, 5.124875e+01, 1.366021e+00
9.482903e-02, 2.822418e-14, 5.224775e+01, 1.358254e+00
9.914572e-02, 4.646016e-13, 5.334665e+01, 1.352535e+00
9.311251e-02, 2.037326e-06, 5.244755e+01, 1.383244e+00
9.140063e-02, 2.322489e-13, 5.264735e+01, 1.349651e+00
1.048322e-01, 5.432973e-06, 5.124875e+01, 1.380082e+00
9.648813e-02, 4.109869e-04, 5.214785e+01, 1.373739e+00
9.036164e-02, 7.569353e-09, 5.154845e+01, 1.386624e+00
1.061640e-01, 1.435064e-09, 5.254745e+01, 1.359820e+00
1.082508e-01, 2.411635e-11, 5.174825e+01, 1.365670e+00
9.933247e-02, 5.216467e-04, 5.024975e+01, 1.395222e+00
9.118872e-02, 7.852344e-13, 5.244755e+01, 1.349020e+00
1.067558e-01, 7.940621e-04, 5.004995e+01, 1.407636e+00
1.087986e-01, 2.656172e-08, 5.234765e+01, 1.379917e+00
1.069556e-01, 1.203267e-12, 5.004995e+01, 1.385332e+00
9.871494e-02, 2.232438e-08, 5.344655e+01, 1.319959e+00
9.499508e-02, 2.711453e-08, 5.304695e+01, 1.376381e+00
9.691260e-02, 1.732959e-06, 5.234765e+01, 1.386207e+00
1.036054e-01, 1.996057e-10, 5.174825e+01, 1.362307e+00
9.096371e-02, 2.208476e-14, 5.134865e+01, 1.401971e+00
1.099299e-01, 1.793299e-10, 5.244755e+01, 1.395581e+00
9.898720e-02, 6.162676e-14, 5.174825e+01, 1.361171e+00
1.004184e-01, 5.927729e-11, 5.124875e+01, 1.366636e+00
9.972121e-02, 8.422329e-10, 5.314685e+01, 1.362462e+00
9.805269e-02, 7.187804e-06, 5.114885e+01, 1.361970e+00
9.308263e-02, 2.086936e-06, 5.134865e+01, 1.368253e+00
9.281776e-02, 1.631162e-05, 5.364635e+01, 1.345293e+00
1.079409e-01, 4.229007e-10, 5.174825e+01, 1.353509e+00
9.970898e-02, 4.980050e-07, 5.134865e+01, 1.379856e+00
9.517717e-02, 4.009366e-09, 5.524476e+01, 1.323682e+00
1.070748e-01, 4.416699e-07, 5.234765e+01, 1.355566e+00
1.056126e-01, 6.061118e-05, 5.374625e+01, 1.349797e+00
